dateRep,cases,deaths,,
1,7,0,,
2,2,0,,
3,2,0,,
4,0,0,,
5,2,0,,
6,8,0,,
7,1,0,,
8,3,0,,
9,11,1,,
10,9,1,,
11,4,0,,
12,6,0,,
13,7,0,,
14,39,0,,
15,11,0,,
16,16,0,,
17,3,2,,
18,11,0,,
19,13,0,,
20,16,0,,
21,18,2,,
22,21,0,,
23,22,0,,
24,32,0,,
25,5,0,,
26,22,1,,
27,26,2,,
28,42,1,,
29,46,0,,
30,43,2,,
31,27,2,,
32,30,0,,
33,27,1,,
34,28,0,,
35,14,0,,
36,45,0,,
37,44,1,,
38,15,0,,
39,27,2,,
40,33,0,,
41,35,2,,
42,34,2,,
43,68,1,,
44,67,0,,
45,85,2,,
46,62,0,,
47,85,1,,
48,143,2,,
49,176,0,,
50,125,1,,
51,120,3,,
52,149,2,,
53,89,3,,
54,132,5,,
55,132,2,,
56,247,3,,
57,231,3,,
58,311,4,,
59,370,3,,
60,336,1,,
61,194,4,,
62,191,5,,
63,203,12,,
64,259,10,,
65,132,12,,
66,348,6,,
67,249,8,,
68,250,7,,
69,174,20,,
70,394,15,,
71,331,58,,
72,307,14,,
73,263,22,,
74,447,15,,
75,364,22,,
76,355,27,,
77,340,18,,
78,421,17,,
79,509,16,,
80,354,17,,
81,427,15,,
82,434,19,,
83,545,14,,
84,617,17,,
85,641,34,,
86,246,31,,
87,390,17,,
88,624,16,,
89,771,35,,
90,279,19,,
91,800,22,,
92,209,49,,
93,569,34,,
94,533,21,,
95,479,19,,
96,687,27,,
97,915,44,,
98,1061,26,,
99,1221,37,,
100,1208,40,,
101,747,27,,
102,724,34,,
103,815,23,,
104,624,49,,
105,1247,39,,
106,961,47,,
107,979,33,,
108,757,47,,
109,387,25,,
110,1130,58,,
111,1202,48,,
112,865,54,,
113,870,39,,
114,4233,6,,
115,635,36,,
116,362,17,,
117,1190,29,,
118,906,42,,
119,1057,59,,
120,1091,37,,
121,1209,0,,
122,561,65,,
123,0,0,,
124,6,27,,
125,2546,74,,
126,1221,32,,
127,963,57,,
128,1190,35,,
129,327,36,,
130,236,18,,
131,823,24,,
132,1144,35,,
133,830,47,,
134,931,49,,
135,919,29,,
136,416,14,,
137,382,11,,
138,979,11,,
139,1123,34,,
140,1195,29,,
141,1144,45,,
142,885,14,,
143,249,24,,
144,382,10,,
145,903,30,,
146,1034,48,,
147,1102,39,,
148,958,26,,
149,915,48,,
150,332,14,,
151,345,17,,
152,1118,19,,
153,1063,32,,
154,1142,23,,
155,1065,24,,
156,758,19,,
157,233,12,,
158,162,20,,
159,819,18,,
160,771,12,,
161,694,14,,
162,682,21,,
163,441,20,,
164,202,7,,
165,145,10,,
166,893,28,,
167,901,7,,
168,684,21,,
169,703,11,,
170,649,20,,
171,251,8,,
172,263,15,,
173,512,12,,
174,240,25,,
175,740,27,,
176,680,40,,
177,808,29,,
178,292,14,,
179,237,5,,
180,942,13,,
181,819,17,,
182,491,16,,
183,945,16,,
184,824,27,,
185,390,16,,
186,171,5,,
187,705,4,,
188,778,8,,
189,663,15,,
190,681,6,,
191,658,18,,
192,215,8,,
193,219,9,,
194,688,8,,
195,834,25,,
196,776,12,,
197,455,9,,
198,609,9,,
199,171,19,,
200,111,3,,
201,554,23,,
202,714,20,,
203,671,23,,
204,666,25,,
205,597,37,,
206,332,15,,
207,239,11,,
208,620,5,,
209,196,21,,
210,757,13,,
211,730,14,,
212,730,15,,
213,155,35,,
214,107,7,,
215,677,14,,
216,749,17,,
217,470,22,,
218,549,10,,
219,600,15,,
220,165,9,,
221,0,0,,
222,379,10,,
223,664,4,,
224,702,14,,
225,653,28,,
226,548,17,,
